Neighborhood,Address Latitude,Address Longitude,Borough,City,Venue,Venue Latitude,Venue Longitude,Venue Category
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Brunnen Goldener Hirsch,52.48335519794925,13.344000577926636,Fountain
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Café de Enrico,52.481013876466925,13.349787701000947,Café
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Rüyam Gemüse Kebab,52.48480747236112,13.353681178205404,Doner Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,L’Antica Pizzeria da Michele,52.480267,13.347365,Pizza Place
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Dolce Pizza,52.48477884830622,13.3458334017871,Pizza Place
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Osbili,52.479532,13.349973,Bistro
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,vanille & marille,52.48715670610465,13.353707622549834,Ice Cream Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Odeon,52.48208572810069,13.349482915306812,Indie Movie Theater
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Rudolph-Wilde-Park,52.48257113808005,13.339848518371582,Park
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Flying Fish Sushi,52.48552214561969,13.35171472557061,Sushi Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,John-F.-Kennedy-Platz,52.484913,13.344503,Plaza
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Pequeña Habana,52.48775,13.349463,Caribbean Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Renger-Patzsch,52.48756529050154,13.352249667871849,French Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Rum Depot,52.488404629546004,13.350951077603579,Liquor Store
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Pinelli,52.47927,13.349858,Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,DoubleEye,52.48799274353971,13.354272878353157,Coffee Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Mana,52.486961,13.352332,Vegetarian / Vegan Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Garda Pizza,52.48673851079661,13.357867912867775,Pizza Place
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,I Due Emigranti,52.48641481237747,13.351501688194407,Italian Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Deko Behrendt,52.486710304191085,13.35696723635397,Costume Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Öz-Gida,52.48735133428599,13.357275993529056,Grocery Store
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Viani,52.486193398717965,13.355951246951411,Grocery Store
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Dodo Beach Record Store,52.48930706339677,13.35537314414978,Record Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Tee Tea Thé,52.490227288565116,13.353177985495995,Tea Room
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Mehlstübchen,52.483855,13.361253,Bakery
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Jones Ice Cream,52.490548,13.353473,Ice Cream Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Gasometer,52.48265904762961,13.35960624726842,Event Space
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Hope Superfood Deli,52.4867403226751,13.355223246054647,Bistro
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,FitX,52.4854217856508,13.356001757816557,Gym / Fitness Center
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Taverna Ousia,52.488141986203104,13.338181689872261,Taverna
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Felsenkeller,52.486571,13.355757,Pub
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Bäckerei Johann Mayer,52.47856722942611,13.34568397498558,Bakery
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Ho Lo and Friends Kitchen + Bar,52.490114,13.351937,Vietnamese Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,WaWa,52.490160741078945,13.355638682768033,Korean Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Sahara Sudanesische Spezialitäten,52.479845,13.35181,African Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Mamsell,52.49058031823461,13.35323294088859,Chocolate Shop
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,tranxx schwebebad & massagewelt,52.48672610570233,13.35494332304293,Spa
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Kleine Fabriek,52.481447294564596,13.36037278175354,Baby Store
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Mr. Gyros,52.48835511272416,13.337801446613824,Greek Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,PapalaCup,52.47977811367951,13.360209012031753,Café
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,La Cocotte,52.48926196483406,13.354167734454572,French Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Zig Zag Jazz Club,52.475245,13.34024,Jazz Club
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Rote Beete,52.490436580690485,13.354926819716542,Café
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Chay Village,52.48970882661967,13.349005528597717,Vietnamese Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Shawarma One,52.48158001963898,13.349408682953094,Falafel Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Spielplatz an der Apostel-Paulus-Kirche,52.488837575591,13.352430849343149,Playground
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,La Cantine d'Augusta,52.48912087563823,13.362196683883667,French Restaurant
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Café Taubenschlag,52.485466,13.361648,Café
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Mokalola,52.48432707145924,13.361495269419237,Café
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Bäckerei Gümüş,52.4887868757557,13.358758925201903,Bakery
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,Sardinen.Bar,52.489994,13.354334,Wine Bar
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.483193299999996,13.3484196,Tempelhof-Schöneberg,Berlin,BIO COMPANY,52.484905592832774,13.353554186745155,Organic Grocery
