Borough,City,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Tempelhof-Schöneberg,Berlin,52.44060329999999,13.3737035,3,Café,Italian Restaurant,Ice Cream Shop,Cocktail Bar,Bakery,Bar,Pizza Place,Park,Vietnamese Restaurant,French Restaurant
Neukölln,Berlin,52.481149699999996,13.435350099999999,3,Bar,Café,Coffee Shop,Pizza Place,Indie Movie Theater,Italian Restaurant,Vegetarian / Vegan Restaurant,Turkish Restaurant,Farmers Market,Garden
Charlottenburg-Wilmersdorf,Berlin,52.507855799999994,13.263951800000001,3,Hotel,Italian Restaurant,Bakery,Gourmet Shop,Coffee Shop,Plaza,Café,Supermarket,Dessert Shop,Drugstore
Schöneberg,Berlin,52.482156999999994,13.355190099999998,3,Café,Coffee Shop,Bar,Hotel,Pizza Place,Plaza,Ice Cream Shop,Cocktail Bar,Park,Organic Grocery
Friedrichshain-Kreuzberg,Berlin,52.501115399999996,13.4442848,3,Coffee Shop,Bar,Café,Italian Restaurant,Hotel,Ice Cream Shop,Cocktail Bar,Vegetarian / Vegan Restaurant,Park,Bakery
Mitte,Berlin,52.5178855,13.404060099999999,3,Hotel,Café,Coffee Shop,Bar,Park,Plaza,Bakery,Italian Restaurant,Ice Cream Shop,Art Gallery
Pankow,Berlin,52.5979174,13.435316,3,Café,Bakery,Coffee Shop,Ice Cream Shop,Vietnamese Restaurant,Italian Restaurant,Park,Bar,Wine Bar,Beer Bar
Bezirksteil Sendlinger Feld,munich,48.11414445,11.550176655394427,5,Italian Restaurant,Café,German Restaurant,Bakery,Supermarket,Hotel,Greek Restaurant,Bar,Ice Cream Shop,Gastropub
Bezirksteil Am Schlachthof,munich,48.124568,11.555180834936365,5,Café,German Restaurant,Italian Restaurant,Ice Cream Shop,Bar,Vietnamese Restaurant,Asian Restaurant,Burger Joint,Drugstore,Bistro
Bezirksteil Glockenbach,munich,48.1278638,11.5706135,6,Café,German Restaurant,Ice Cream Shop,Italian Restaurant,Coffee Shop,Plaza,Bar,Vietnamese Restaurant,Cocktail Bar,Bavarian Restaurant
