Neighborhood,Latitude,Longitude,Borough,City
"Tierparkstraße (Isar-Eingang), Tierparkstraße, Bezirksteil Siebenbrunn, Untergiesing-Harlaching, München, Bayern, 81543, Deutschland",48.1006198,11.5514237,Bezirksteil Siebenbrunn,munich
"90, Säbener Straße, Bezirksteil Giesing, Untergiesing-Harlaching, München, Bayern, 81547, Deutschland",48.10192975,11.571492406240349,Bezirksteil Giesing,munich
"22, Hohenschwangaustraße, Bezirksteil Obergiesing, Obergiesing-Fasangarten, München, Bayern, 81549, Deutschland",48.1024839,11.5916676,Bezirksteil Obergiesing,munich
"107, Görzer Straße, Balanstraße-West, Bezirksteil Balanstraße-West, Ramersdorf-Perlach, München, Bayern, 81549, Deutschland",48.1030278,11.6115562,Bezirksteil Balanstraße-West,munich
"11, Johann-Houis-Straße, Bezirksteil Mittersendling, Sendling-Westpark, München, Bayern, 81369, Deutschland",48.1119596,11.520543,Bezirksteil Mittersendling,munich
"Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81371, Deutschland",48.11259310172631,11.540597265808003,Bezirksteil Sendlinger Feld,munich
"Brudermühlbrücke, Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81379, Deutschland",48.1126172,11.56015094349111,Bezirksteil Sendlinger Feld,munich
"Spielplatz an der Herzogstandstraße ""Louisoderspielplatz"", Kesselbergstraße, Bezirksteil Obergiesing, Obergiesing-Fasangarten, München, Bayern, 81539, Deutschland",48.1138543,11.581082016046512,Bezirksteil Obergiesing,munich
"15, Ruppertsberger Straße, Bezirksteil Balanstraße-West, Ramersdorf-Perlach, München, Bayern, 81539, Deutschland",48.114604850000006,11.600868099999998,Bezirksteil Balanstraße-West,munich
"6, Raiffeisenplatz, Ramersdorf, Bezirksteil Ramersdorf, Ramersdorf-Perlach, München, Bayern, 81735, Deutschland",48.1148751,11.6209519,Bezirksteil Ramersdorf,munich
"Bienenhaus, Heiterwanger Straße, Bezirksteil Mittersendling, Sendling-Westpark, München, Bayern, 81373, Deutschland",48.122936949999996,11.529192301957217,Bezirksteil Mittersendling,munich
"Kreisverwaltungsreferat, 19, Ruppertstraße, Am Schlachthof, Bezirksteil Am Schlachthof, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80337, Deutschland",48.12434935,11.550165205178768,Bezirksteil Am Schlachthof,munich
"Mittelschule Wittelsbacherstraße, 10, Wittelsbacherstraße, Bezirksteil Glockenbach, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80469, Deutschland",48.12504685,11.570254605238468,Bezirksteil Glockenbach,munich
"28, Franziskanerstraße, Bezirksteil Obere Au, Au-Haidhausen, München, Bayern, 81669, Deutschland",48.125775,11.5900335,Bezirksteil Obere Au,munich
"Alpha, August-Everding-Straße, Bezirksteil Echarding, Berg am Laim, München, Bayern, 81671, Deutschland",48.12664,11.610809755051587,Bezirksteil Echarding,munich
