Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"0, 21, Arcisstraße, Bezirksteil Königsplatz, Maxvorstadt, München, Bayern, 80333, Deutschland",Café,Plaza,Art Museum,Italian Restaurant,Ice Cream Shop,Steakhouse,Bar,Vietnamese Restaurant,Bakery,Coffee Shop
"1, Burgunderstraße, Bezirksteil Am Luitpoldpark, Schwabing-West, München, Bayern, 80804, Deutschland",Park,Greek Restaurant,Drugstore,Italian Restaurant,Pizza Place,Bar,Bakery,Pool,Restaurant,Museum
"101, Gartenstraße, Spandauer Vorstadt, Mitte, Berlin, 10115, Deutschland",Coffee Shop,Café,Hotel,Ice Cream Shop,Bookstore,Bakery,Park,Italian Restaurant,Playground,Theater
"13, Hans-Otto-Straße, Bötzowviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland",Café,Park,Italian Restaurant,Playground,Bakery,Coffee Shop,Vietnamese Restaurant,Indie Movie Theater,Ice Cream Shop,Pizza Place
"13, Löwestraße, Hausburgviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland",Café,Vegetarian / Vegan Restaurant,Coffee Shop,Pizza Place,Ice Cream Shop,Park,Middle Eastern Restaurant,Italian Restaurant,Cocktail Bar,Nightclub
"14, Wartenburgstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",Italian Restaurant,Coffee Shop,Park,Bar,Cocktail Bar,Organic Grocery,French Restaurant,Bistro,Science Museum,Café
"155, Prinzregentenstraße, Parkstadt Bogenhausen, Bezirksteil Parkstadt, Bogenhausen, München, Bayern, 81677, Deutschland",Italian Restaurant,Hotel,Restaurant,Indian Restaurant,Supermarket,Bakery,Café,German Restaurant,Gym / Fitness Center,Middle Eastern Restaurant
"17, Kathi-Kobus-Straße, Ackermannbogen, Bezirksteil Schwere-Reiter-Straße, Schwabing-West, München, Bayern, 80797, Deutschland",Café,Italian Restaurant,Vietnamese Restaurant,Bar,Asian Restaurant,Steakhouse,Coffee Shop,Trattoria/Osteria,Mediterranean Restaurant,German Restaurant
"174, Leopoldstraße, Bezirksteil Münchener Freiheit, Schwabing-Freimann, München, Bayern, 80804, Deutschland",Bar,Hotel,Italian Restaurant,Thai Restaurant,Café,German Restaurant,Austrian Restaurant,Bakery,Trattoria/Osteria,Restaurant
"18, Römerstraße, Bezirksteil Neuschwabing, Schwabing-West, München, Bayern, 80801, Deutschland",Bar,Café,Vietnamese Restaurant,Italian Restaurant,Bakery,Greek Restaurant,Thai Restaurant,Breakfast Spot,Restaurant,German Restaurant
"18, Scheinerstraße, Altbogenhausen, Bezirksteil Altbogenhausen, Bogenhausen, München, Bayern, 81679, Deutschland",Italian Restaurant,Restaurant,Hotel,Plaza,Beer Garden,Supermarket,Bakery,Café,Indian Restaurant,Gourmet Shop
"1A, Guerickestraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10587, Deutschland",Italian Restaurant,Coffee Shop,Café,Gourmet Shop,Hotel,Bookstore,Asian Restaurant,Sushi Restaurant,German Restaurant,Trattoria/Osteria
"2, Orlandostraße, Bezirksteil Graggenau, Altstadt-Lehel, München, Bayern, 80331, Deutschland",Plaza,Café,Coffee Shop,German Restaurant,Hotel,Bavarian Restaurant,Restaurant,Gourmet Shop,Bookstore,Clothing Store
"21, Tegeler Straße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",Bar,Café,Coffee Shop,Turkish Restaurant,Pizza Place,Chinese Restaurant,Thai Restaurant,Bakery,Middle Eastern Restaurant,Trattoria/Osteria
"24, Rudi-Dutschke-Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",Hotel,Plaza,Theater,History Museum,Science Museum,Concert Hall,Coffee Shop,Bookstore,Garden,Salad Place
"28, Franziskanerstraße, Bezirksteil Obere Au, Au-Haidhausen, München, Bayern, 81669, Deutschland",Café,German Restaurant,Plaza,Italian Restaurant,Coffee Shop,Beer Garden,Hotel,Ice Cream Shop,Gourmet Shop,Pub
"31a, Paul-Lincke-Ufer, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",Bar,Café,Coffee Shop,Turkish Restaurant,Pastry Shop,Pizza Place,Ice Cream Shop,Record Shop,Cocktail Bar,Breakfast Spot
"39, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland",Coffee Shop,Bakery,Bar,Italian Restaurant,Ice Cream Shop,Vietnamese Restaurant,Hotel,Art Gallery,Bagel Shop,Falafel Restaurant
"40, Landwehrstraße, Bezirksteil Ludwigsvorstadt-Kliniken, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80336, Deutschland",Café,Ice Cream Shop,Plaza,Clothing Store,Church,Hotel,Bavarian Restaurant,Italian Restaurant,Vietnamese Restaurant,Cocktail Bar
"45, Keithstraße, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10787, Deutschland",Hotel,Zoo Exhibit,Plaza,Monument / Landmark,Gay Bar,Cocktail Bar,Restaurant,Men's Store,Italian Restaurant,Hotel Bar
"47, Hauptstraße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",Café,Bakery,Pizza Place,Cocktail Bar,Italian Restaurant,French Restaurant,Ice Cream Shop,Vietnamese Restaurant,Plaza,Bistro
"510, Zufahrt Liegendkranke, Bezirksteil Steinhausen, Au-Haidhausen, München, Bayern, 81675, Deutschland",Plaza,German Restaurant,Italian Restaurant,Café,Gourmet Shop,Hotel,Bakery,Restaurant,Concert Hall,Ice Cream Shop
"6, Hansa-Ufer, Moabit, Mitte, Berlin, 10555, Deutschland",Zoo Exhibit,Hotel,Art Museum,Italian Restaurant,Restaurant,Coffee Shop,Café,Beer Garden,Theater,Bakery
"6, Wittelsbacherstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland",Bakery,Italian Restaurant,Hotel,Drugstore,Plaza,Supermarket,Coffee Shop,Wine Shop,Gourmet Shop,Noodle House
"7, Bornholmer Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland",Café,Bakery,Coffee Shop,Bar,Park,Vietnamese Restaurant,Falafel Restaurant,Ice Cream Shop,Italian Restaurant,Japanese Restaurant
"7, Hiddenseer Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland",Café,Bakery,Coffee Shop,Bar,Falafel Restaurant,Beer Bar,Ice Cream Shop,Wine Bar,Vietnamese Restaurant,Italian Restaurant
"ARD-Hauptstadtstudio, 67a, Wilhelmstraße, Mitte, Berlin, 10117, Deutschland",Plaza,Concert Hall,History Museum,Hotel,Coffee Shop,Middle Eastern Restaurant,Science Museum,Monument / Landmark,Café,Park
